product_id|model|label|description|category_id|brand|image|status
1000616|VTUG|bloc-vanne pneumatique|<br> Débit 130... 1380 l/min<br> Largeur 10, 14, 18 mm<br> Raccordement M3, M5, M7, G 1/8, G 1/4<br> Connecteur enfichable 3, 4, 6, 8 mm<br> Connexion individuelle électrique, multipôle, bus de terrain, IO-Link, I-Port<br> Tension 5, 12, 24 V CC<br> Pression -0,9... 10 bar<br> Protection IP40/IP65<br> Distributeurs semi-inline et distributeurs à embase<br> Barrette de raccordement métallique<br> <br> Caractéristiques spécifiques:<br> <br> De la série VG<br> <br> Débit de 140 à 1200 l/min<br> Largeur 10, 14, 18 mm<br> Raccordement M5, M7, G1/8, G1/4<br> Connecteur enfichable 3, 4, 6, 8 mm<br> Multipôle, bus de terrain, IO-Link, I-Port<br> Tension 24 V CC<br> Pression -0,9... 10 bar<br> Protection IP40/IP67<br> Distributeurs semi-inline et distributeurs à embase<br> Barrette de raccordement métallique<br> <br> Caractéristiques spécifiques:<br> <br> De la série VG|60427|festo|1545131274708-983e364b-6bea-48df-99ba-2b955990d403|DONE
1000617|VTUB|bloc-vanne pneumatique|<br> Débit 200 ... 1000 l/min<br> Largeur 20 mm<br> Raccordement instantané 4, 6, 8, 10 mm<br> Connexion électrique individuelle et connexion multipôle<br> Tension 12 V CC / 24 V CA, 24 V CC, 110 V CA, 230 V CA<br> Pression -0,9 ... 8 bar<br> Classe de protection IP65<br> Distributeurs sur embase avec raccords sur distributeur<br> Commande électrique, piloté, avec ressort pneumatique <br> Embase en métal<br> <br> Caractéristiques spécifiques:<br> <br> Distributeurs en polymères<br> Fonctions de base : distributeurs 3/2 et 4/2|60427|festo|1545131279414-eb06b9e2-4b4d-4c0e-b8a9-c4d0c8295e6d|DONE
1000618|PWDXX series|contrôleur de vanne avec électrovanne intégrée|Amplificateurs pour valves proportionnelles PWDXXAmplificateurs pour valves proportionnelles PWDXX. Montage sur rail DIN. Borniers détachables. Permet de commander des valves bouclées.|60427|Parker|1545131285616-306a0876-1a41-48bf-bb81-3a9c25232509|DONE
1000619|ACT20X-SDI-HDO/2SDI-2HDO|contrôleur de vanne numérique / antidéflagrant|Les modules de commande de valve d'ACT20X-SDI-HDO/2SDI-2HDO sont commandées de la zone sûre du côté d'entrée par les signaux de commutation (NPN, PNP) et fournissent les sorties numériques aux déclencheurs de commutateur (solénoïdes, alarmes) dans la zone ex 0.<br> <br> Selon le module, le courant de sortie est limité pour les groupes IIC/IIB de protection d'allumage à 35 mA<br> <br> <br> ou 60 mA (seulement un canal). L'alarme intégrée entre en contact avec l'issue une alerte en cas d'un défaut de fonctionnement ; ceci facilite le dépannage et augmente la disponibilité de système.<br> <br> <br> <br> Les amplificateurs sur rail de déconnecter-commutateur sont sur option disponibles dans une ou à deux voies versions.<br> Avec la largeur de 11 millimètres par canal, les dispositifs ont besoin de peu d'espace dans le coffret électrique.|60427|Weidmüller|1545131290366-6af5f355-af2b-4a35-bd8f-ca6f847689dc|DONE
1000620|81 580 series|relais pneumatique de commande|Un dispositif de contrôle pneumatique de 2 mains est utilisé avec les machines dangereuses et exige l'utilisation simultanée de chacun des deux <br> mains pour déclencher et maintenir l'opération de machine. Un tel dispositif doit être situé en dehors de la zone dangereuse, ainsi <br> que l'opérateur ne peut pas entrer dans cette zone avant que la machine soit venue à un arrêt complet. <br> Un dispositif de contrôle pneumatique de 2 mains se compose de 2 parts :<br> boutons poussoirs manuels du ■ 2 qui exigent l'utilisation simultanée des deux mains.<br> ■ un relais pneumatique|60427|crouzet|1545131295323-0ef6d550-db3f-4c93-869d-0da099bf42e0|DONE
1000621|NPFC|raccord à visser / coudé / pour air comprimé / pneumatique|<br> Raccord M5, R1/8, R1/4, R3/8, R1/2, R3/4, R1, G1/8, G1/4, G3/8, G1/2, G3/4, G1<br> Filetage<br> Filetage métrique avec bague d'étanchéité<br> Filetage R avec revêtement PTFE<br> Filetage G avec bague d'étanchéité.|60501|festo|1545131300205-c665b357-841e-44fc-a92e-fee686cdd908|DONE
1000622|NPQH|raccord enfichable / push-in / coudé / pour air comprimé|<br> Raccordement M5, M7, G1/8, G1/4, G3/8, G1/2<br> Pour diamètre extérieur de tuyau 4, 6, 8, 10, 12, 14 mm<br> Union mâle 4, 6, 8, 10, 12, 14 mm<br> Température ambiante 0 ... 150 °C<br> Raccord fileté<br> Filetage G avec bague d'étanchéité<br> Compatible avec le vide<br> Raccords enfichables<br> Connecteurs mâles<br> Traversées de cloisons<br> Traversées de cloisons avec unions mâles<br> Raccords traversée de cloison<br> <br> Caractéristiques spécifiques:<br> <br> Conception métallique robuste<br> Résistant aux températures et pressions élevées<br> Résistant aux produits chimiques<br> Conforme FDA|60501|festo|1545131304462-10bd5c46-e51b-47fc-ad1e-41d9f5a2087d|DONE
1000623|NPQM|raccord enfichable / push-in / coudé / pneumatique|<br> Raccordement M5, M7, G1/8, G1/4, G3/8, G1/2<br> Pour diamètre extérieur de tuyau 4, 6, 8, 10, 12, 14 mm<br> Union mâle 4, 6, 8, 10, 12 mm<br> Raccord fileté<br> Filetage G avec bague d'étanchéité<br> Raccords enfichables<br> Connecteurs mâles<br> Connecteurs mâles avec unions mâles<br> <br> Caractéristiques spécifiques:<br> <br> Conception métallique robuste<br> Résistant aux températures et pressions élevées|60501|festo|1545131308656-e44a94ec-adf9-40ec-91ca-bf6fb4dd18e5|DONE
1000624|CPI™ / A-LOK®|raccord à bague / à compression / droit / coudé|Raccords simples et doubles bagues CPI/AlokRaccords à compression simple et double bague, utilisation avec tube d'instrumentation pour gaz et liquides|60501|Parker|1545131314153-472e8f80-8b89-4421-837d-38ef7f1ff80b|DONE
1000625|MPI™ series|raccord à compression / droit / hydraulique / pneumatique|Raccords MPI moyenne pression 1400 barRaccords et vannes (pointeau, boisseau, clapets anti-retour) à compression pour ""moyenne"" pression jusqu'à 1378 bar.|60501|Parker|1545131319570-c347bdef-26ed-4bf4-accc-0ff588d01284|DONE
