product_id|model|label|description|category_id|brand|image|status
1000451|GDL Origa series|guidage linéaire à rouleaux croisés / en aluminium / silencieux / inoxydable|Guidages linaires rouleaux croiss GDL Origa. Tailles 12, 15, 20, 25, 35 et 45, longueurs des rails disponibles de 300 4000 mm (autres longueurs sur demande).<br> <br> Les guidages pour rouleaux croiss en aluminium allient parfaitement performances et lgret. Ils sont extrmement silencieux et prcis. Les guidages rouleaux croiss en aluminium (rail et chariot mobile) servent de support la construction d installations souples et solides pour le montage et l automatisation. Ils sont conus pour la manutention conomique de charges moyennes. L utilisation de composants en aluminium lgers permet de rduire les masses dplaces, d augmenter les vitesses de dplacement et d conomiser de l nergie. Pistes de roulement polies et calibrs. Fonctionnement trs rgulier grce aux galets roulement aiguilles. La vitesse de dplacement de ces guidages, qui peut atteindre 10 m/s, offre des possibilits d applications dans de nombreux domaines. Galets croiss pour des charges dans toutes les directions. Systme de guidage quasiment exempt de graisse. Rails doubles ou simples. Versions standard ou inoxydable. Pour des courses plus longues, les rails de guidage peuvent s abouter.|50216|Parker|1545131334495-a4a42409-d76f-4f33-95fa-3e33d3797628|DONE
1000452|MTR-DCI|unité d'entraînement|<br> Taille 32, 42, 52, 62<br> Couple 0,15... 11,66 Nm<br> Tension 24, 48 V CC<br> Courant nominal 0,73 ... 6,19 A<br> Câble moteur adapté.|50312|festo|1545131339074-970ef504-2918-4b68-b27a-0281d8b7d13c|DONE
1000453|Crouzet|réducteur pour moteur DC / planétaire / à vis sans fin / à train d'engrenages|Nos moteurs de brosse de C.C sont disponibles en tant que commandes directes ou embrayés|50338|crouzet|1545131343657-cf66432a-5b42-4739-bf22-39367b711461|DONE
1000454|PR/RS, PE series|réducteur planétaire / coaxial / silencieux / robuste|Les réducteurs sont disponibles en version axiale ou orthogonale dans 8 tailles et 12 rapports de réduction. Avec des vitesses d'entrée jusqu'à 6000 min-1 et un fonctionnement silencieux, robuste et fiable, vous pouvez être sûr qu'il y a un réducteur correspondant à vos applications performantes.|50338|Parker|1545131348899-f1e92725-a802-4f43-9405-c33f6bfbe15f|DONE
1000455|Crouzet|réducteur pour moteur DC / planétaire / à vis sans fin / à train d'engrenages|Nos moteurs de brosse de C.C sont disponibles en tant que commandes directes ou embrayés|50339|crouzet|1545131353223-9e304925-78b9-4394-991a-fcdab29472df|DONE
1000701|MS12-LOE|lubrificateur pour air comprimé|<br> Connexion G1, G1 1/4, G1 1/2, G2<br> Débit 20000 … 22000 l/min.|70206|festo|1545131169308-60e24e57-084b-4333-8693-d0c9f14706d8|DONE
1000702|DESLUBE|pompe à huile / électrique / immergée / centrifuge|DesLube de Desmi fait partie des solutions marines et en mer de la compagnie de produit. Généralement utilisé pour des opérations fournir-connexes principales d'huile de lubrification de moteur, cette basse-NPSH, à faible bruit/par vibration submergée pompe d'huile de lubrification peut également être utilisée pour de grandes applications de moteur de deux-course. Cette pompe adaptable est manufacturée basée sur les pompes profondes-bien et les unités centrifuges intégrées de la compagnie. Sa structure pleine garantit les opérations de haute qualité. Ceci assure également des besoins d'entretien minimaux. <br> <br> Le DesLube peut être intégré dans le marécage bride-soutenu par dôme. Ces possibilités d'intégration n'ont pas besoin des mécanismes supplémentaires de suspension. Quand les chutes de pression d'huile lubrifiante, cet appareil augmente le débit global, afin de réduire au minimum les risques des dommages complets qui peuvent par la suite casser le moteur principal.|70210|DESMI|1545131173362-18deae04-f381-4fe5-9a10-c1d1d76d58b4|DONE
1000703|DMS series|visseuse électrique sans fil / modèle pistolet / à contrôle de couple / à chocs|Les tournevis dynamométrique Weidmüller ont une forme ergonomique et se prêtent bien de ce fait à une utilisation d'une seule main. Ils permettent de travailler sans fatigue dans toutes les directions de montage. Vous disposez en plus d'une limitation automatique du couple et d'une grande précision de reproductibilité.|70301|Weidmüller|1545131178692-f663b4e6-9836-4799-84ff-98d78ed016a0|DONE
1000704|Weidmüller|pince coupante / pour l'électronique / isolante|Pour travailler sous tension il faut respecter des consignes de sécurité particulières et utiliser des outils conçus et testés à cet effet.<br> Weidmüller propose aux utilisateurs toute une gamme de pinces qui répondent à l'ensemble des normes nationales et internationales.<br> Toutes les pinces sont fabriquées et testées selon la DIN EN 60900.<br> Sur le plan ergonomique, les pinces ont été adaptées à la forme de la main. La main est ainsi mieux positionnée et les doigts ne sont pas serrés ce qui est moins fatigant.|70316|Weidmüller|1545131184796-7c0fd311-8e33-4962-a50d-1a5817157f8c|DONE
1000705|Weidmüller|pince à dénuder universelle / pour câble|Weidmüller est un spécialiste du dénudage et du dégainage des câbles. La gamme des produits couvre aussi bien les pinces à dénuder pour petites sections que les outils à dégainer pour les gros diamètres. <br> Avec sa large gamme d'outils à dénuder et à dégainer, Weidmüller répond à tous les critères d'une préparation professionnelle des câbles.|70317|Weidmüller|1545131189474-443877cb-1e9b-4146-a43d-a27e702a0431|DONE
1000706|Weidmüller|coupe-câble manuel / à cliquet|Outils à couper pour conducteurs jusqu'à 8 mm, 12 mm, 14 mm et 22 mm de diamètre extérieur. La géométrie de coupe spéciale assure une coupe nette et sans écrasement des conducteurs en cuivre et aluminium avec un effort physique minimum. En outre, les outils à couper sont munis d'une protection isolante testée VDE et GS jusqu'à 1 000 V, conformément aux normes EN/CEI 60900.|70318|Weidmüller|1545131196250-e7315145-993d-4e05-8451-4b1aaf80acd0|DONE
1000707|Weidmüller|outil de sertissage hydraulique / manuel / pour borne de câbles|Pinces à sertir avec inserts interchangeables pour cosses, connecteurs et embouts.<br> <br> • Large choix d'inserts de sertissage normalisés <br> • Large choix d'outils mécaniques, hydrauliques et électro-hydraulique <br> • large plage d'action jusqu'à 300 mm² <br> • Possibilité de déverrouillage en cas de fausse manœuvre|70334|Weidmüller|1545131201656-6596116a-6d7f-4fd0-a332-9b93c81a6638|DONE
1000708|EVcc-PR series|lampe torche à LED / d'inspection / antidéflagrante|EVcc-PR-LED Series : projecteur LED compact - aluminium exempt de cuivre.|70340|MARECHAL ELECTRIC|1545131206592-eda84760-91bc-4ee4-abfb-f875f88974c9|DONE
1000709|EVcc-PR series|lampe torche à LED / d'inspection / antidéflagrante|EVcc-PR-LED Series : projecteur LED compact - aluminium exempt de cuivre.|70343|MARECHAL ELECTRIC|1545131211087-b21ca149-d042-4be6-832a-78b96fb8087b|DONE
